,Bintje_1,Bintje_2,Maris_Piper,Experimental,GMO1,GMO2
104,0,0,0,0,0,0
105,0,0,0,0,0,0
106,0,0,0,0,0,0
107,0,0,0,0,0,0
108,0,0,0,0,0,0
109,0,0,0,0,0,0
110,0,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0,0,0,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,1,1,1,1,1,1
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,1,1,0,0,0,0
128,0,0,0,0,0,0
129,0,0,0,0,0,0
130,0,0,0,0,0,0
131,0,0,0,0,0,0
132,0,0,0,0,0,0
133,0,0,0,0,0,0
134,0,0,0,0,0,0
135,0,0,0,0,0,0
136,0,0,0,0,1,0
137,0,0,0,1,0,0
138,0,0,0,0,0,0
139,0,0,0,0,0,0
140,1,1,0,0,0,0
141,1,1,1,1,1,1
142,1,1,1,1,1,1
143,0,0,0,0,0,0
144,1,1,0,0,1,0
145,0,0,0,0,0,0
146,0,0,0,0,0,0
147,0,0,0,0,0,0
148,0,0,0,0,0,0
149,0,0,0,0,0,0
150,1,1,1,1,1,1
151,1,1,1,1,1,1
152,0,0,0,0,0,0
153,0,0,0,0,0,0
154,1,1,1,1,1,1
155,0,0,0,0,0,0
156,1,1,1,1,1,1
157,0,0,0,0,0,0
158,0,1,1,1,1,1
159,0,1,1,0,1,0
160,0,0,0,0,0,0
161,0,0,0,0,1,1
162,0,0,1,1,1,1
163,1,0,0,1,1,0
164,0,0,0,0,0,0
165,0,0,0,0,0,0
166,0,0,0,0,0,0
167,0,0,0,0,0,0
168,0,0,0,0,0,0
169,0,0,0,0,0,0
170,0,0,0,0,0,0
171,1,1,1,1,1,1
172,1,1,1,1,1,1
173,0,0,0,0,0,0
174,0,0,0,0,0,0
175,0,0,0,0,0,0
176,0,0,0,0,0,0
177,0,0,0,0,0,0
178,0,0,0,0,0,0
179,0,0,0,0,0,0
180,0,0,0,0,0,0
181,0,0,0,0,0,0
182,0,0,0,0,0,0
183,0,0,0,0,0,0
184,0,0,0,0,0,0
185,0,0,0,0,0,0
186,0,0,0,0,0,0
187,0,0,0,0,0,0
188,0,0,0,0,0,0
189,0,0,0,0,0,0
190,0,0,0,0,0,0
191,0,0,0,0,0,0
192,0,0,0,0,0,0
193,0,1,0,0,0,0
194,0,0,0,1,0,0
195,1,0,0,0,0,0
196,0,0,0,0,1,0
197,0,0,0,0,0,0
198,0,0,0,0,0,0
199,0,0,0,0,0,0
200,1,1,1,1,1,1
201,0,0,0,0,0,0
202,1,1,1,1,1,1
203,0,0,0,0,0,0
204,0,1,0,0,1,1
205,1,1,1,1,1,1
206,0,1,1,1,1,1
207,0,0,1,1,0,1
208,1,1,1,1,1,1
209,1,1,1,1,1,1
210,0,0,1,1,0,0
211,1,1,1,1,1,1
212,1,1,1,1,1,1
213,0,0,0,0,0,0
214,0,0,0,0,0,0
215,0,0,0,0,0,0
216,0,0,0,0,0,0
217,1,1,1,1,1,1
218,0,0,0,0,0,0
219,0,0,0,0,0,0
220,0,0,0,0,0,0
221,0,0,0,0,0,0
222,0,0,0,0,0,0
223,0,0,0,0,0,0
224,0,0,0,0,0,0
225,0,0,1,0,0,0
226,0,0,0,0,0,0
227,0,0,0,0,0,0
228,0,0,0,0,0,0
229,0,0,0,0,0,0
230,0,0,0,0,0,0
231,0,0,0,0,0,0
232,0,0,0,0,0,0
233,0,0,0,0,0,0
234,0,0,1,1,1,1
235,0,0,0,1,0,0
236,0,1,0,1,0,0
237,1,1,1,1,1,1
238,1,1,1,1,1,1
239,0,1,0,1,1,1
240,0,0,0,0,0,0
241,0,0,0,0,0,0
242,0,0,0,0,0,0
243,0,0,0,0,0,0
244,1,1,1,1,1,1
245,0,0,0,0,0,0
246,0,0,0,0,0,0
247,0,0,0,0,0,0
248,0,0,0,0,0,0
249,0,0,0,0,0,0
250,0,0,0,0,0,0
251,1,1,1,1,1,1
252,0,0,0,0,0,0
253,0,0,0,0,0,0
254,0,0,0,0,0,0
255,0,0,0,0,0,0
256,0,0,0,0,0,0
257,0,0,0,0,0,0
258,0,0,0,0,0,0
259,0,0,0,0,0,0
260,0,0,0,0,0,0
261,0,0,0,0,0,0
262,0,0,0,0,0,0
263,0,0,0,0,0,0
264,0,0,0,0,0,0
265,0,0,0,1,0,0
266,0,0,0,1,0,0
267,0,0,0,0,0,0
268,0,0,0,0,0,0
269,0,0,0,0,0,0
270,0,0,0,0,0,0
271,1,1,1,1,1,1
272,0,0,0,0,0,0
273,0,0,0,0,0,0
274,0,0,0,0,0,0
275,0,0,0,0,0,0
276,0,0,0,0,0,0
277,0,0,0,0,0,0
278,0,0,0,0,0,0
279,0,0,0,0,0,0
280,0,0,0,0,0,0
281,0,0,0,0,0,0
282,0,0,0,1,1,0
283,0,0,0,0,0,0
284,0,0,0,0,0,0
285,0,0,0,0,0,0
286,0,0,0,0,0,0
287,0,0,0,1,0,0
288,0,0,1,0,0,0
289,0,0,0,0,0,0
290,0,0,0,0,0,0
291,0,0,0,0,0,0
292,0,0,0,0,0,0
293,0,0,0,0,0,0
294,0,0,0,0,0,0
295,0,0,0,0,0,0
296,0,0,0,0,0,0
297,0,0,0,0,0,0
298,0,0,0,0,0,0
299,0,0,0,0,0,0
300,0,1,0,0,1,0
301,0,0,0,0,0,0
302,0,0,0,0,0,0
303,0,0,0,0,0,0
304,0,0,0,0,0,0
305,0,0,0,0,0,0
306,0,0,0,0,0,0
307,0,0,0,0,0,0
308,0,0,0,0,0,0
309,1,1,1,1,1,1
310,1,1,1,1,1,1
311,1,1,1,1,1,1
312,1,1,1,1,1,1
313,1,1,0,1,0,0
314,1,1,1,1,1,1
315,1,1,1,1,1,1
316,1,1,1,1,1,1
317,0,0,0,0,0,0
318,0,0,0,0,0,0
319,0,1,0,0,0,0
320,1,1,1,1,1,1
321,0,0,0,0,0,0
322,0,0,1,0,0,0
323,0,0,0,0,0,0
324,1,1,1,1,1,1
325,1,1,0,0,0,0
326,0,0,1,1,1,1
327,1,1,1,1,1,1
328,0,0,0,0,0,0
329,0,1,0,0,0,1
330,0,0,0,0,0,0
331,0,0,0,0,0,0
332,1,1,1,1,1,1
333,0,0,0,0,0,0
334,0,0,0,0,0,0
335,0,0,0,0,0,0
336,0,0,0,0,0,0
337,0,0,0,0,0,0
338,0,0,0,0,0,0
339,0,0,0,0,0,0
340,0,0,0,0,0,0
341,0,0,0,0,0,0
342,0,0,0,1,1,1
343,1,0,0,1,1,1
344,0,0,0,0,0,0
345,0,1,0,1,0,1
346,0,0,0,0,0,0
347,0,0,0,0,0,0
348,0,0,0,0,0,0
349,0,0,0,0,0,0
350,0,0,0,0,0,0
351,0,1,0,0,0,1
352,1,1,1,1,1,1
353,1,1,1,1,1,1
354,0,0,0,0,0,0
355,1,1,1,1,1,1
356,1,1,1,1,1,1
357,0,0,0,0,0,0
358,0,0,0,0,0,0
359,0,0,0,0,0,0
360,0,0,0,0,0,0
361,0,0,0,0,0,0
362,0,0,0,1,0,0
363,0,0,0,1,0,0
364,0,1,1,1,1,0
365,0,0,0,0,0,0
366,0,0,0,0,0,0
367,0,0,0,0,0,0
368,0,0,0,0,0,0
369,0,0,0,0,0,0
370,0,0,0,0,0,0
371,0,0,0,0,0,0
372,0,1,0,1,0,1
373,0,0,0,1,1,0
374,0,0,0,1,0,0
375,1,1,1,1,1,1
376,0,1,0,0,0,0
377,0,0,0,0,0,0
378,0,0,0,0,0,0
379,0,0,0,0,0,0
380,0,0,0,0,0,0
381,0,0,0,1,0,0
382,0,0,0,0,0,0
383,0,0,0,0,0,0
384,0,0,0,0,0,0
385,0,0,0,0,0,0
386,0,0,0,0,0,0
387,0,0,0,0,0,0
388,0,0,0,0,0,0
389,0,0,0,1,0,1
390,0,0,0,0,1,0
391,0,0,0,0,0,0
392,0,0,0,0,0,0
393,1,1,1,1,1,1
394,1,1,1,1,1,1
395,1,1,1,1,1,1
396,0,0,0,1,0,1
397,1,1,1,1,1,1
398,0,0,0,1,0,0
399,1,1,1,1,1,1
400,1,1,1,1,1,1
401,1,1,1,0,1,1
402,1,1,1,1,1,1
403,1,1,1,1,1,1
404,1,1,1,1,1,1
405,1,1,1,0,1,1
406,1,1,1,1,1,1
407,1,1,1,1,1,1
408,0,0,0,0,0,0
409,1,1,0,0,1,1
410,0,0,0,0,0,1
411,0,0,0,0,0,0
412,0,0,0,0,0,0
413,1,1,0,1,0,0
414,0,0,0,0,0,0
415,0,0,0,0,0,0
416,0,0,0,0,0,0
417,0,0,0,0,0,0
418,1,1,1,1,1,1
419,0,0,1,1,0,0
420,0,0,0,0,0,0
421,0,0,0,0,0,0
422,0,0,0,1,0,0
423,0,0,0,0,0,0
424,0,1,0,1,0,0
425,0,0,0,0,0,0
426,0,0,0,0,0,0
427,0,0,0,0,0,0
428,0,1,1,1,0,1
429,1,1,1,1,1,1
430,0,0,0,0,0,0
431,1,1,1,1,0,0
432,0,0,0,0,0,0
433,0,0,0,0,0,0
434,0,0,0,0,0,0
435,0,0,0,0,0,0
436,0,0,0,0,0,0
437,0,0,0,0,0,0
438,0,0,0,0,0,0
439,0,0,0,0,0,0
440,1,1,1,1,1,1
441,0,0,1,1,0,0
442,0,0,1,1,0,0
443,0,0,1,1,0,0
444,0,1,1,1,0,1
445,0,0,0,1,1,1
446,0,1,1,1,1,1
447,0,0,0,0,0,0
448,0,0,0,0,0,0
449,0,0,0,0,0,0
450,0,0,0,0,0,0
451,0,0,0,0,0,0
452,0,0,0,0,0,0
453,1,0,1,1,1,1
454,1,1,1,1,1,1
455,0,1,1,0,0,1
456,0,1,1,1,1,1
457,0,1,1,0,0,0
458,0,1,0,0,0,0
459,0,0,0,0,0,0
460,0,1,1,0,1,1
461,0,0,0,0,0,0
462,0,0,0,0,0,0
463,0,0,0,0,1,0
464,0,1,0,1,0,1
465,0,1,0,0,1,1
466,1,1,1,1,1,1
467,1,1,1,1,1,1
468,0,0,1,1,1,1
469,0,0,0,0,0,0
470,0,0,0,1,0,0
471,1,1,1,1,1,1
472,0,0,0,0,0,0
473,1,1,1,1,1,1
474,0,0,1,1,1,1
475,0,0,0,1,1,1
476,0,0,0,0,0,0
477,1,1,1,1,1,1
478,0,0,0,0,0,0
479,0,0,0,0,0,0
480,0,0,0,0,0,0
481,0,0,0,0,0,0
482,0,0,0,0,0,0
483,0,0,0,0,0,0
484,0,0,0,0,0,0
485,0,0,0,0,0,0
486,0,0,0,0,0,0
487,0,0,0,0,0,0
488,0,0,0,0,0,0
489,0,0,0,0,0,0
490,0,0,0,0,0,0
491,0,0,1,1,1,1
492,0,0,0,1,0,0
493,1,1,1,1,1,1
494,0,1,0,0,1,0
495,1,1,0,1,1,1
496,0,0,0,0,0,0
497,0,1,1,0,0,0
498,0,0,0,0,0,0
499,0,0,0,0,1,0
500,0,0,0,0,0,0
501,0,0,0,0,0,0
502,0,0,0,0,0,0
503,0,0,0,0,0,0
504,0,0,0,0,0,0
505,0,0,0,0,0,0
506,0,0,0,0,0,0
507,1,1,1,1,1,1
508,0,1,0,1,1,1
509,0,1,1,0,1,1
510,1,0,0,0,0,0
511,1,1,1,1,1,1
512,1,1,1,1,1,1
513,0,0,0,0,0,0
514,0,0,0,0,0,0
515,1,1,1,1,1,1
516,1,1,1,0,1,1
517,0,1,0,1,1,1
518,0,0,1,0,0,1
519,0,0,0,0,0,0
520,1,1,0,1,1,1
521,1,1,0,1,1,1
522,1,1,1,1,1,1
523,0,0,0,0,0,0
524,1,1,1,1,1,1
525,0,0,1,1,1,1
526,0,0,0,0,0,1
527,0,0,0,0,0,0
528,0,0,0,0,1,1
529,1,1,1,1,1,1
530,1,1,1,1,1,1
531,1,1,1,1,1,1
532,0,0,0,1,0,0
533,0,0,0,0,0,0
534,0,0,1,0,1,0
535,1,1,1,1,1,1
536,0,0,0,0,0,0
537,0,0,0,0,0,0
538,0,0,0,0,0,0
539,0,0,0,0,1,1
540,0,0,1,0,0,1
541,0,0,0,1,1,0
542,0,0,0,1,1,1
543,0,0,0,1,1,0
544,0,0,0,1,0,0
545,1,1,1,0,1,1
546,1,1,1,1,1,1
547,0,0,0,0,0,0
548,1,1,1,1,1,1
549,0,0,0,0,0,1
550,0,0,0,0,0,0
551,1,1,1,1,1,1
552,1,0,0,1,0,0
553,0,0,0,0,0,0
554,0,0,0,0,1,1
555,0,0,0,1,1,1
556,0,0,0,0,0,1
557,0,0,0,1,0,1
558,0,0,0,0,0,0
559,0,0,0,1,0,0
560,1,1,0,0,0,1
561,0,1,0,1,0,0
562,0,0,0,0,0,0
563,0,0,0,0,0,0
564,0,0,0,0,0,0
565,0,0,0,0,0,0
566,0,0,0,0,0,0
567,0,0,0,0,0,0
568,0,0,0,0,0,0
569,1,1,1,1,1,1
570,1,1,1,1,1,1
571,0,0,0,0,0,0
572,0,0,0,0,0,0
573,0,0,0,0,0,0
574,0,0,0,0,0,0
575,0,0,0,0,0,0
576,1,1,1,1,1,1
577,0,0,0,0,0,0
578,0,0,0,0,0,0
579,1,1,1,1,1,0
580,1,1,1,1,1,1
581,0,1,0,0,1,0
582,0,0,0,0,0,0
583,1,1,1,1,1,1
584,0,0,0,0,1,0
585,0,0,0,0,0,0
586,0,0,0,0,0,1
587,0,0,0,0,0,0
588,0,0,0,0,0,0
589,0,0,0,0,0,0
590,1,1,1,1,1,1
591,1,1,1,1,1,1
592,0,0,0,0,0,0
593,0,0,0,0,0,0
594,0,1,1,0,0,0
595,0,0,0,0,0,0
596,0,0,0,0,0,0
597,0,0,0,0,0,0
598,0,0,0,1,0,0
599,0,1,0,1,0,1
600,0,0,0,1,0,1
601,1,0,1,1,0,0
602,1,0,0,1,0,0
603,0,0,1,1,1,1
604,0,0,0,0,0,0
605,0,1,1,0,1,1
606,1,1,1,1,1,1
607,0,0,0,0,0,0
608,0,0,0,0,0,0
609,0,0,0,0,0,0
610,1,1,1,1,1,1
611,0,0,0,0,0,0
612,1,1,1,1,1,1
613,0,0,0,1,0,1
614,0,1,0,1,1,1
615,1,1,1,1,1,1
616,0,0,0,0,0,0
617,0,0,0,0,0,0
618,0,0,0,0,0,0
619,0,0,0,0,0,0
620,0,0,0,0,0,0
621,0,0,0,0,0,0
622,0,0,0,0,0,0
623,0,0,0,0,0,0
624,0,0,0,0,0,0
625,0,0,0,0,0,0
626,0,0,0,0,0,0
627,0,0,0,0,0,0
628,0,0,0,0,0,0
629,0,0,0,0,0,0
630,0,0,0,0,0,0
631,0,0,0,0,0,0
632,0,0,0,0,0,0
633,0,0,0,0,0,0
634,0,0,0,0,0,0
635,0,0,0,0,0,0
636,1,1,0,1,1,1
637,0,1,0,1,1,1
638,0,0,0,1,0,0
639,0,0,0,0,0,0
640,1,1,1,1,1,1
641,1,1,1,1,1,1
642,1,1,1,1,1,1
643,0,0,0,0,0,0
644,0,0,1,1,0,0
645,1,1,1,1,1,1
646,0,0,0,1,1,0
647,0,0,0,1,0,0
648,1,1,1,1,1,1
649,0,0,1,0,0,1
650,0,0,0,0,0,0
651,0,0,0,0,0,0
652,0,0,0,0,0,0
653,0,0,0,0,0,0
654,0,0,0,0,0,0
655,1,1,1,0,1,1
656,0,0,0,1,0,0
657,1,1,1,1,1,1
658,0,0,0,0,0,0
659,0,0,0,0,0,1
660,1,1,1,1,1,1
661,0,0,0,1,1,1
662,0,0,0,0,0,0
663,0,1,1,1,1,0
664,0,0,0,0,0,0
665,0,0,1,0,0,0
666,0,1,1,1,1,1
667,0,0,0,0,0,0
668,0,0,0,0,0,0
669,0,0,1,1,0,0
670,0,0,0,0,0,0
671,0,0,0,0,0,0
672,0,0,1,1,0,0
673,1,1,0,0,1,1
674,1,1,1,1,1,1
675,0,0,0,0,0,0
676,1,1,1,1,1,1
677,0,0,0,0,0,0
678,0,0,0,0,0,1
679,0,0,0,0,0,0
680,0,1,0,0,0,0
681,0,1,0,1,1,0
682,0,0,0,0,0,0
683,0,0,0,0,0,0
684,0,0,0,1,0,0
685,0,1,0,0,1,1
686,1,1,1,1,1,1
687,1,1,1,1,1,1
688,1,1,1,1,1,1
689,1,1,0,0,0,0
690,0,0,0,0,0,0
691,1,1,0,1,0,1
692,1,1,1,1,1,1
693,0,0,0,0,0,0
694,0,0,0,0,0,0
695,0,0,0,0,0,0
696,0,0,0,0,0,0
697,1,1,1,1,1,1
698,1,1,1,1,1,1
699,1,1,1,1,1,1
700,0,0,0,0,0,0
701,0,0,0,0,0,0
702,1,1,1,1,1,1
703,1,1,1,1,1,1
704,0,0,0,0,0,0
705,0,1,1,0,0,0
706,1,1,1,1,1,1
707,0,0,0,0,0,0
708,1,1,1,1,1,1
709,0,0,0,0,0,0
710,0,0,0,1,0,0
711,0,0,0,0,0,0
712,0,0,0,0,0,0
713,0,0,0,1,0,1
714,0,0,0,0,0,0
715,0,1,1,1,1,1
716,0,0,0,0,0,0
717,0,0,0,0,0,0
718,1,1,1,1,1,1
719,1,1,1,1,1,1
720,1,1,1,1,1,1
721,0,0,0,0,0,0
722,0,0,0,0,0,0
723,1,1,1,1,1,1
724,0,1,0,1,1,1
725,0,1,0,1,1,1
726,0,0,0,1,1,1
727,0,1,1,1,1,1
728,1,1,1,1,1,1
729,0,0,0,0,0,0
730,0,0,0,0,0,0
731,0,0,0,0,0,0
732,0,0,0,0,0,0
733,1,1,1,1,1,1
734,0,0,0,0,0,0
735,0,0,1,1,0,0
736,0,0,0,0,0,0
737,0,0,0,0,0,0
738,1,1,1,1,1,1
739,1,1,1,1,1,1
740,1,1,1,1,0,1
741,0,0,0,1,0,0
742,0,0,0,0,0,0
743,0,0,0,0,0,0
744,0,0,0,0,0,0
745,0,0,0,0,0,0
746,0,0,0,0,0,0
747,0,0,0,0,0,0
748,0,0,0,0,0,0
749,0,0,0,0,0,0
750,1,1,1,1,1,1
751,1,1,0,0,0,0
752,1,0,1,0,1,1
753,0,0,0,0,1,1
754,0,1,1,1,0,1
755,1,1,1,1,1,1
756,0,0,1,0,0,0
757,1,1,1,1,1,1
758,0,0,0,0,0,0
759,0,0,0,0,1,1
760,0,0,0,1,0,1
761,0,0,0,0,0,0
762,0,1,1,0,1,1
763,0,0,0,0,0,0
764,1,1,1,1,1,1
765,1,1,1,1,1,1
766,0,0,0,0,0,0
767,1,0,1,1,0,1
768,1,1,1,1,1,1
769,0,0,0,0,0,0
770,0,0,0,0,0,0
771,0,0,0,0,0,0
772,0,0,0,0,0,0
773,1,1,0,0,1,1
774,1,1,1,1,1,1
775,0,0,0,0,0,0
776,0,0,0,0,0,0
777,1,1,1,0,1,1
778,0,0,0,0,0,0
779,0,0,0,0,0,0
780,0,0,0,0,0,0
781,0,1,1,1,0,1
782,0,1,1,1,1,1
783,0,1,1,0,1,1
784,1,1,1,1,1,1
785,0,1,1,1,0,1
786,0,0,0,0,0,0
787,1,1,1,1,1,1
788,0,0,0,0,0,0
789,0,0,0,1,0,0
790,0,0,0,1,0,0
791,0,0,0,0,0,0
792,1,1,1,1,1,1
793,0,0,0,0,0,0
794,0,0,0,0,0,0
795,0,0,0,0,0,0
796,0,0,1,1,1,1
797,1,1,1,1,1,1
798,0,0,0,0,0,0
799,1,1,1,1,1,1
800,0,0,0,0,0,0
801,1,1,1,1,1,1
802,0,0,1,1,0,1
803,1,1,1,1,1,1
804,0,0,0,0,0,0
805,0,0,0,0,0,0
806,1,1,1,0,1,1
807,0,0,0,0,0,0
808,0,0,1,1,0,0
809,0,0,0,0,0,0
810,0,0,0,0,0,0
811,0,0,0,0,0,0
812,0,0,0,0,0,0
813,0,0,0,0,0,0
814,0,0,0,0,0,0
815,0,0,0,0,0,0
816,0,0,0,0,0,0
817,0,0,0,0,0,0
818,0,0,0,0,0,1
819,1,1,1,0,1,1
820,1,1,1,1,1,1
821,0,0,0,0,0,1
822,0,0,0,0,0,0
823,0,0,0,0,0,0
824,1,1,1,1,1,1
825,0,0,0,0,0,0
826,0,0,0,1,0,0
827,1,1,1,1,1,1
828,1,1,1,1,1,1
829,0,0,0,0,0,0
830,0,0,0,0,0,0
831,1,1,1,1,1,1
832,0,0,0,0,0,0
833,1,1,1,1,1,1
834,0,0,0,0,0,0
835,1,1,1,1,0,1
836,1,1,1,1,1,1
837,1,1,1,0,1,1
838,0,0,0,0,0,0
839,1,1,1,1,1,1
840,1,1,1,0,1,1
841,0,1,1,1,1,1
842,0,0,0,0,0,1
843,0,1,1,1,0,1
844,0,0,0,0,0,0
845,0,0,0,0,0,0
846,0,0,0,1,0,0
847,0,0,0,0,1,1
848,1,0,1,0,1,1
849,1,1,0,1,0,0
850,1,1,1,1,1,1
851,0,0,0,0,0,0
852,1,1,1,1,1,1
853,0,0,0,0,0,0
854,1,1,1,1,1,1
855,0,0,0,0,0,0
856,1,1,1,1,1,1
857,0,0,0,0,0,0
858,0,0,0,1,0,0
859,0,0,0,1,1,0
860,1,1,1,1,1,1
861,0,0,0,0,0,0
862,0,0,0,0,0,0
863,0,0,0,0,0,0
864,0,0,0,0,0,0
865,0,1,0,0,1,1
866,0,1,0,1,1,1
867,0,1,0,1,1,1
868,1,1,1,1,1,1
869,0,0,0,0,0,0
870,0,0,0,0,0,0
871,1,1,1,1,1,1
872,0,0,0,0,0,0
873,0,0,0,1,0,0
874,0,0,1,1,1,0
875,0,1,0,0,0,0
876,1,1,1,1,1,1
877,0,0,0,1,1,0
878,0,0,1,0,1,1
879,0,1,1,1,1,1
880,1,1,1,1,1,1
881,1,1,1,1,1,1
882,0,0,0,0,0,0
883,0,1,0,0,1,0
884,0,0,0,0,0,0
885,0,0,0,0,0,0
886,1,1,1,1,1,1
887,0,0,0,0,0,0
888,1,1,0,0,0,1
889,1,1,1,1,1,1
890,0,0,0,0,0,0
891,0,0,0,0,0,0
892,0,0,0,0,0,0
893,0,0,0,1,0,0
894,0,0,1,1,0,0
895,0,0,0,0,0,0
896,1,1,1,1,1,1
897,1,1,1,1,1,1
898,0,1,0,0,1,1
899,0,1,1,1,0,0
900,0,0,0,0,0,0
901,0,1,1,1,0,1
902,0,0,1,1,0,1
903,1,1,1,1,1,1
904,1,1,0,0,0,0
905,1,1,1,1,1,1
906,1,1,1,1,1,1
907,0,1,1,0,1,0
908,0,0,0,0,0,0
909,0,0,0,1,0,0
910,0,0,0,0,0,0
911,0,0,0,0,0,0
912,1,1,0,1,1,1
913,1,1,1,1,1,1
914,1,1,1,1,1,1
915,0,1,1,0,1,0
916,1,1,1,1,1,1
917,1,1,1,1,1,1
918,0,0,0,0,0,0
919,0,0,0,0,0,1
920,0,0,0,0,0,0
921,0,1,1,1,0,1
922,1,1,1,1,1,1
923,1,0,0,0,0,0
924,1,1,1,1,1,1
925,1,1,1,1,1,1
926,1,1,1,1,1,1
927,0,0,0,0,0,0
928,1,1,0,0,1,1
929,1,1,1,1,1,0
930,1,1,1,1,1,1
931,0,0,0,0,0,0
932,0,1,0,0,1,0
933,0,0,0,0,0,0
934,1,1,1,1,1,1
935,0,1,0,0,0,1
936,0,0,0,0,0,0
937,0,0,0,0,0,0
938,1,0,1,0,0,1
939,1,1,1,0,1,1
940,0,0,0,0,0,0
941,0,0,0,1,1,1
942,1,1,1,1,1,1
943,1,1,1,1,1,1
944,1,1,1,0,1,1
945,0,0,1,1,0,1
946,1,1,1,0,0,0
947,1,1,1,0,1,1
948,1,1,1,1,1,1
949,0,0,0,0,0,0
950,0,0,0,0,0,0
951,0,0,0,0,0,0
952,1,1,1,0,1,1
953,1,1,0,0,0,0
954,0,0,0,0,0,0
955,0,0,0,0,0,0
956,1,1,1,1,1,1
957,0,0,0,1,1,1
958,0,0,0,0,0,0
959,0,0,0,1,0,0
960,0,0,0,0,0,0
961,1,1,1,1,1,1
962,0,0,0,0,0,0
963,0,0,0,1,0,0
964,1,1,1,1,1,1
965,0,0,0,0,0,0
966,1,1,1,1,1,1
967,0,0,0,0,0,1
968,0,0,0,0,0,0
969,0,0,0,0,0,0
970,1,1,1,1,1,1
971,0,0,1,0,0,0
972,1,1,1,1,1,1
973,0,0,0,0,0,0
974,0,1,0,0,1,1
975,0,0,0,0,0,0
976,0,0,1,0,1,1
977,0,0,0,1,1,0
978,0,0,1,1,0,0
979,0,1,1,1,1,1
980,0,0,1,1,0,1
981,0,0,0,0,0,0
982,1,1,1,1,1,1
983,0,0,0,0,0,0
984,0,1,1,1,0,0
985,0,0,0,0,0,0
986,0,0,1,0,1,1
987,1,1,1,1,1,1
988,0,0,0,0,0,1
989,0,0,0,0,0,0
990,0,0,0,0,1,0
991,1,1,1,1,1,1
992,0,1,0,0,1,0
993,0,0,0,0,1,0
994,1,1,1,1,1,1
